"","time","event","prttime","age","gpa","dblmaj"
"1",4.43346466152336e-05,TRUE,0,17,3.5,0
"2",1.76980026329166e-05,TRUE,0,19,3.7,0
"3",6.75114017136136e-05,TRUE,0,21,3.4,0
"4",2.07195562946342e-05,TRUE,0,28,2.6,0
"5",0.000178108043842804,TRUE,1,18,2.1,0
"6",0.000283777501055746,TRUE,1,20,3.7,0
"7",5.15692378510609e-05,TRUE,0,17,3.2,0
"8",0.000194824126752356,TRUE,0,18,3.2,0
"9",0.000445444206694808,TRUE,0,17,3.1,1
"10",0.000528446052708366,TRUE,1,20,2.7,0
"11",0.000111989288138767,TRUE,0,18,3.6,0
"12",1.65838803170614e-05,TRUE,0,20,2.8,0
"13",0.000117856496103177,TRUE,0,21,3.2,0
"14",0.000186998671463532,TRUE,0,19,3,0
"15",8.21185409972933e-06,TRUE,0,21,3.1,1
"16",0.000133226213094759,TRUE,0,17,3,0
"17",0.000174455627134719,TRUE,0,20,3.6,0
"18",2.05691636646508e-05,TRUE,0,21,3.5,0
"19",3.38548414723376e-05,TRUE,0,20,2.6,0
"20",0.000215835459309825,TRUE,1,18,2.8,0
"21",9.15602665644986e-05,TRUE,0,17,3,0
"22",0.000124190311573564,TRUE,0,18,3.6,0
"23",0.000123684466905405,TRUE,1,18,3.4,0
"24",0.000331473946441211,TRUE,1,17,3.1,0
"25",3.40624929007519e-05,TRUE,0,17,3.5,0
"26",0.00103006413089694,TRUE,1,17,3,0
"27",1.00214879971529e-05,TRUE,0,24,3.6,0
"28",8.12178644932405e-06,TRUE,0,17,3.3,1
"29",4.57031462721695e-05,TRUE,0,17,3.1,0
"30",6.20471818030122e-05,TRUE,0,18,2.7,0
"31",0.000156300013549794,TRUE,0,18,3.7,0
"32",0.000579002205661474,TRUE,1,17,3.4,1
"33",1.58364840701396e-05,TRUE,0,18,3.4,1
"34",5.25716501171488e-05,TRUE,0,17,2.8,0
"35",2.33577618345873e-05,TRUE,0,21,3.2,1
"36",6.83919858301942e-06,TRUE,0,20,3.3,0
"37",9.68931270543774e-07,TRUE,0,18,3.5,0
"38",1.37483416078753e-05,TRUE,0,17,3,0
"39",4.0582442557463e-05,TRUE,0,18,3.2,0
"40",1.0041361748013e-05,TRUE,0,18,2.8,0
"41",2.78339422933301e-05,TRUE,0,23,3.1,0
"42",1.02042418199303e-05,TRUE,0,21,3.5,0
"43",9.64288293618152e-05,TRUE,0,19,3.3,0
"44",0.000107634393726084,TRUE,0,17,3.4,0
"45",9.27813352213437e-08,TRUE,1,19,2.7,0
"46",0.00017773171404962,TRUE,0,17,3.1,0
"47",3.20715200832607e-05,TRUE,0,19,3.6,0
"48",6.30248677452785e-05,TRUE,0,17,3,0
"49",5.94894407066691e-05,TRUE,0,17,3.5,0
"50",0.000227619331441545,TRUE,1,17,3.2,0
"51",2.6546274656882e-05,TRUE,0,19,2.6,0
"52",6.23113425321343e-06,TRUE,0,18,3.7,0
"53",3.85494954749597e-05,TRUE,0,17,3.4,0
"54",4.30324561494687e-05,TRUE,0,18,3.3,0
"55",5.46347696910875e-05,TRUE,0,19,3.3,0
"56",0.000156679618409447,TRUE,0,18,2.7,0
"57",0.000167463798428443,TRUE,0,18,3,1
"58",5.35147120598866e-05,TRUE,0,18,3.4,0
"59",0.000125509037116953,TRUE,0,19,3.2,0
"60",0.000133172973158285,TRUE,0,19,3.3,0
"61",0.000473434530748019,TRUE,1,18,3.1,0
"62",7.28046371058617e-05,TRUE,0,17,3.3,1
"63",3.17431860211811e-05,TRUE,0,19,3.1,0
"64",2.92254492259783e-05,TRUE,0,19,3.7,0
"65",0.000110287742174637,TRUE,0,18,3.6,0
"66",6.38600740122987e-05,TRUE,0,18,3.3,1
"67",1.00054184765994e-05,TRUE,1,20,2.9,0
"68",0.000162517815533199,TRUE,0,17,2.8,0
"69",0.000134009884059663,TRUE,1,17,3.6,0
"70",0.000691500951477008,TRUE,1,17,3.2,0
"71",1.93919466152449e-05,TRUE,0,19,3.1,0
"72",0.000241190519165412,TRUE,0,18,3.1,1
"73",0.000158461171624583,TRUE,0,17,3,0
"74",2.32552704446426e-05,FALSE,0,19,3.3,0
"75",0.00012304133385593,TRUE,0,17,2.9,0
"76",5.6948858451772e-05,TRUE,0,23,3.5,0
"77",1.51545910588701e-05,TRUE,0,18,2.3,0
"78",6.96102052921906e-05,TRUE,1,18,2.1,1
"79",4.97747503207969e-05,TRUE,0,18,3.4,0
"80",0.000272621557515846,TRUE,0,17,3.2,0
"81",7.79178891469912e-05,TRUE,0,18,3.6,1
"82",1.06263912448785e-05,TRUE,0,18,2.1,0
"83",0.000132782865381252,TRUE,0,18,3.5,1
"84",4.5958721637188e-05,TRUE,0,19,3.5,0
"85",2.44539399205174e-05,TRUE,0,18,3.7,0
"86",4.72606028823971e-05,TRUE,0,17,2.7,0
"87",2.86430261040672e-05,TRUE,0,17,3.6,0
"88",5.47349807699853e-05,TRUE,0,19,3.1,0
"89",3.91337146655623e-06,TRUE,0,18,2.4,0
"90",2.52092379860746e-05,TRUE,1,18,3.5,0
"91",0.00015737491150853,TRUE,0,18,3.4,0
"92",0.000149729502542988,TRUE,0,18,2.4,0
"93",1.88992836482468e-05,TRUE,0,18,3,1
"94",3.7336673169287e-05,TRUE,0,17,3,0
"95",6.10727321796532e-06,TRUE,0,18,3.3,0
"96",0.000157533564571138,TRUE,1,18,2.4,0
"97",0.000104774854106405,TRUE,0,19,3,0
"98",0.000306079536721411,TRUE,0,18,3.4,1
"99",1.22343014582871e-05,TRUE,0,17,2.9,0
"100",3.16348906396264e-05,FALSE,0,17,2.5,0
"101",0.000131496223028187,TRUE,0,19,3.7,0
"102",1.06668750973908e-05,TRUE,0,21,2.9,0
"103",3.8212809759369e-06,TRUE,0,17,3.4,1
"104",2.46693008972691e-05,TRUE,0,18,3.4,0
"105",2.30430255769078e-05,TRUE,0,17,3.3,0
"106",0.000740931351599557,TRUE,1,17,3.2,0
"107",0.000643196489651903,TRUE,1,18,2.9,0
"108",7.01799686920463e-05,TRUE,0,18,3.2,0
"109",6.02677441694476e-05,FALSE,1,18,3.5,0
"110",0.000134349225842518,TRUE,0,18,2.9,0
"111",0.000357834304000696,TRUE,1,17,3.2,0
"112",4.04929156293648e-05,TRUE,0,24,3.2,0
"113",9.7996955658374e-05,TRUE,1,18,3.2,0
"114",0.000140531173515674,TRUE,0,18,3.7,0
"115",0.00017587216662788,TRUE,0,19,3.1,0
"116",2.17922719269236e-05,TRUE,0,17,3.3,0
"117",0.000340579537706173,TRUE,1,18,3.5,0
"118",2.70501782232305e-05,TRUE,0,19,2.3,0
"119",0.000317328035317301,TRUE,1,20,3.5,0
"120",5.39848960024782e-05,TRUE,0,18,2.8,0
"121",1.45809551136642e-05,TRUE,0,21,1,0
"122",7.07285263447453e-06,TRUE,0,19,3.4,0
"123",3.96635609472093e-05,TRUE,0,18,3.5,0
"124",3.51056011990972e-05,TRUE,0,18,3.4,0
"125",0.000225344142574842,TRUE,0,17,3.1,1
"126",4.64426221936225e-06,TRUE,0,19,3,0
"127",4.39221464809744e-05,TRUE,0,18,2.8,0
"128",9.06969227061708e-06,TRUE,0,19,3.2,1
"129",7.99807433734656e-06,TRUE,0,19,3.2,0
"130",0.000116345985689297,TRUE,0,18,2.6,0
"131",5.42902641018991e-05,TRUE,0,18,2.3,0
"132",8.35942266644839e-05,TRUE,0,18,3.3,0
"133",5.34937332506416e-06,TRUE,0,18,2.9,0
"134",3.00846725215536e-06,TRUE,0,18,3.3,0
"135",3.36734620904144e-05,TRUE,0,18,2.2,0
"136",0.00016940072464073,TRUE,0,19,3.6,0
"137",4.59670106338163e-05,TRUE,0,17,3,1
"138",8.82203835858785e-05,TRUE,0,17,3.1,0
"139",4.37132433218057e-05,TRUE,0,19,2,1
"140",6.86399935372415e-05,TRUE,0,18,3.3,0
"141",0.000121238118393953,TRUE,0,19,2.1,0
"142",6.19029129520316e-05,TRUE,0,18,3,0
"143",2.4200969486203e-05,TRUE,0,18,2.9,0
"144",2.38315659452139e-05,TRUE,0,18,3,0
"145",0.000101652371225974,TRUE,0,18,3.2,1
"146",9.78843625864629e-07,TRUE,0,18,3.4,0
"147",0.000240406407895091,TRUE,1,18,2,0
"148",0.000244710563237222,TRUE,0,17,3.2,1
"149",2.93868021337748e-05,TRUE,0,19,3.1,0
"150",2.97575709325424e-05,TRUE,0,19,2.8,0
"151",0.000211259719814222,TRUE,0,18,3.5,0
"152",7.77132648161006e-05,TRUE,0,18,3.4,0
"153",3.23913411864281e-05,TRUE,0,18,2.9,0
"154",3.48754810587138e-05,TRUE,0,19,3.3,0
"155",0.00155981562299854,TRUE,1,18,2.2,0
"156",0.000103418998271416,TRUE,0,17,3.5,1
"157",3.99295950775974e-05,TRUE,0,19,3.7,0
"158",0.000585679511704105,TRUE,1,20,3.4,0
"159",0.000239253447886727,TRUE,0,19,1.4,1
"160",5.80249298142549e-05,TRUE,0,24,3.2,0
"161",6.84907485089474e-07,TRUE,0,23,2.3,0
"162",0.000929302276996672,TRUE,1,19,3,1
"163",5.17773146650258e-06,TRUE,0,20,2.8,0
"164",1.76631412361778e-06,TRUE,0,17,2.4,0
"165",4.71369032666742e-05,TRUE,0,17,3.4,1
"166",5.95639093695336e-05,TRUE,0,18,3.7,0
"167",0.000149045289694593,TRUE,0,17,3.4,0
"168",1.44925085641658e-05,TRUE,0,19,3.1,0
"169",7.76611887610904e-06,TRUE,0,19,3.1,1
"170",0.000200650158941549,TRUE,0,18,3.7,0
"171",0.000131057220821269,TRUE,0,17,3.3,0
"172",0.000107617083346496,TRUE,0,17,2.8,0
"173",2.54115245833911e-05,TRUE,0,18,3,0
"174",8.23316681328791e-05,TRUE,0,18,3.6,1
"175",0.000241544369711745,TRUE,0,18,3.1,1
"176",4.56403307602022e-05,TRUE,0,17,3.3,1
"177",0.00249848387834673,TRUE,1,17,2.4,0
"178",0.0001011174444882,TRUE,0,19,2.1,0
"179",1.05641445504137e-05,TRUE,0,17,3.5,1
"180",0.000118546902698976,TRUE,0,18,2.9,0
"181",8.0032351821116e-05,TRUE,0,17,3.1,0
"182",0.0012617390271655,TRUE,1,19,2.4,0
"183",0.000258390074247492,FALSE,1,18,3.5,0
"184",0.000486443471382061,TRUE,1,21,3.2,1
"185",1.5293831947577e-05,TRUE,0,20,3.1,0
"186",0.000385179955248233,TRUE,1,21,3.1,0
"187",3.77466502075948e-05,TRUE,0,18,3.7,0
"188",7.86658917949507e-05,TRUE,0,18,3.2,0
"189",7.6868040118483e-05,TRUE,0,18,3.3,0
"190",0.000643868676956329,TRUE,1,20,2.9,0
"191",5.20545697058432e-06,TRUE,0,19,2.7,0
"192",8.14088598483147e-05,TRUE,0,20,3.2,0
"193",5.30840392401864e-06,TRUE,0,19,3.6,0
"194",3.91004330880972e-05,TRUE,0,17,2.7,0
"195",9.07515239086099e-05,TRUE,1,18,3.3,0
"196",7.97317991210894e-06,TRUE,0,18,3.5,0
"197",0.000430388849393476,TRUE,1,17,3.5,0
"198",3.16160190839093e-05,TRUE,0,25,3.2,0
